Orthogroup	Species	Mycoplasma_genitalium	Orthologs
OG0000033	Mycoplasma_agalactiae	gi|3845066|gb|AAC72490.1|	gi|290752267|emb|CBH40238.1|, gi|290752987|emb|CBH40963.1|
OG0000034	Mycoplasma_agalactiae	gi|3844864|gb|AAC71490.1|	gi|290752284|emb|CBH40255.1|, gi|290752283|emb|CBH40254.1|
OG0000034	Mycoplasma_gallisepticum	gi|3844864|gb|AAC71490.1|	gi|284812152|gb|AAP56841.2|, gi|284812151|gb|AAP56840.2|
OG0000036	Mycoplasma_hyopneumoniae	gi|3844880|gb|AAC71523.1|	gi|71851517|gb|AAZ44125.1|
OG0000036	Mycoplasma_agalactiae	gi|3844880|gb|AAC71523.1|	gi|290752320|emb|CBH40291.1|
OG0000036	Mycoplasma_gallisepticum	gi|3844880|gb|AAC71523.1|	gi|31541360|gb|AAP56661.1|, gi|284812198|gb|AAP56912.2|
OG0000037	Mycoplasma_hyopneumoniae	gi|1045754|gb|AAC71295.1|	gi|144227666|gb|AAZ44587.2|
OG0000037	Mycoplasma_agalactiae	gi|1045754|gb|AAC71295.1|	gi|290752370|emb|CBH40341.1|
OG0000037	Mycoplasma_gallisepticum	gi|1045754|gb|AAC71295.1|	gi|284812162|gb|ADB96883.1|, gi|284812163|gb|ADB96884.1|
OG0000038	Mycoplasma_hyopneumoniae	gi|3844878|gb|AAC71521.1|	gi|71851984|gb|AAZ44592.1|
OG0000038	Mycoplasma_agalactiae	gi|3844878|gb|AAC71521.1|	gi|290752403|emb|CBH40374.1|, gi|290752774|emb|CBH40749.1|
OG0000038	Mycoplasma_gallisepticum	gi|3844878|gb|AAC71521.1|	gi|284812229|gb|AAP56971.2|
OG0000039	Mycoplasma_hyopneumoniae	gi|3844941|gb|AAC71582.1|	gi|71851983|gb|AAZ44591.1|
OG0000039	Mycoplasma_agalactiae	gi|3844941|gb|AAC71582.1|	gi|290752404|emb|CBH40375.1|, gi|290752775|emb|CBH40750.1|
OG0000039	Mycoplasma_gallisepticum	gi|3844941|gb|AAC71582.1|	gi|284812148|gb|AAP56837.2|
OG0000040	Mycoplasma_hyopneumoniae	gi|3844630|gb|AAC71237.1|	gi|71851887|gb|AAZ44495.1|
OG0000040	Mycoplasma_agalactiae	gi|3844630|gb|AAC71237.1|	gi|290752463|emb|CBH40435.1|
OG0000040	Mycoplasma_gallisepticum	gi|3844630|gb|AAC71237.1|	gi|31541205|gb|AAP56507.1|, gi|284811926|gb|AAP56503.2|
OG0000041	Mycoplasma_agalactiae	gi|3844701|gb|AAC71330.1|	gi|290752471|emb|CBH40443.1|
OG0000041	Mycoplasma_hyopneumoniae	gi|3844701|gb|AAC71330.1|	gi|71852038|gb|AAZ44646.1|, gi|144227490|gb|AAZ44238.2|
OG0000041	Mycoplasma_gallisepticum	gi|3844701|gb|AAC71330.1|	gi|284812236|gb|AAP56985.2|
OG0000045	Mycoplasma_hyopneumoniae	gi|84626160|gb|AAC71265.2|	gi|71851566|gb|AAZ44174.1|
OG0000045	Mycoplasma_agalactiae	gi|84626160|gb|AAC71265.2|	gi|290752681|emb|CBH40654.1|, gi|290752794|emb|CBH40769.1|
OG0000045	Mycoplasma_gallisepticum	gi|84626160|gb|AAC71265.2|	gi|284812214|gb|AAP56936.2|
OG0000046	Mycoplasma_hyopneumoniae	gi|3844881|gb|AAC71524.1|, gi|3844777|gb|AAC71400.1|	gi|71851740|gb|AAZ44348.1|
OG0000046	Mycoplasma_agalactiae	gi|3844881|gb|AAC71524.1|, gi|3844777|gb|AAC71400.1|	gi|290752800|emb|CBH40775.1|
OG0000046	Mycoplasma_gallisepticum	gi|3844881|gb|AAC71524.1|, gi|3844777|gb|AAC71400.1|	gi|31541627|gb|AAP56927.1|
OG0000047	Mycoplasma_hyopneumoniae	gi|3844982|gb|AAC71619.1|	gi|144227646|gb|AAZ44547.2|
OG0000047	Mycoplasma_agalactiae	gi|3844982|gb|AAC71619.1|	gi|290753026|emb|CBH41002.1|, gi|290752884|emb|CBH40859.1|
OG0000047	Mycoplasma_gallisepticum	gi|3844982|gb|AAC71619.1|	gi|284812126|gb|AAP56803.2|
OG0000048	Mycoplasma_hyopneumoniae	gi|3844715|gb|AAC71342.1|	gi|71851860|gb|AAZ44468.1|
OG0000048	Mycoplasma_agalactiae	gi|3844715|gb|AAC71342.1|	gi|290753076|emb|CBH41052.1|
OG0000048	Mycoplasma_gallisepticum	gi|3844715|gb|AAC71342.1|	gi|31541133|gb|AAP56435.1|, gi|284812234|gb|AAP56983.2|
OG0000049	Mycoplasma_hyopneumoniae	gi|3845063|gb|AAC72488.1|, gi|3844662|gb|AAC71282.1|	gi|144227641|gb|AAZ44536.2|
OG0000049	Mycoplasma_agalactiae	gi|3845063|gb|AAC72488.1|, gi|3844662|gb|AAC71282.1|	gi|290753082|emb|CBH41058.1|
OG0000049	Mycoplasma_gallisepticum	gi|3845063|gb|AAC72488.1|, gi|3844662|gb|AAC71282.1|	gi|31541069|gb|AAP56371.1|
OG0000050	Mycoplasma_gallisepticum	gi|3845046|gb|AAC72472.1|	gi|31541604|gb|AAP56904.1|
OG0000050	Mycoplasma_gallisepticum	gi|84626135|gb|AAC71350.2|	gi|31541605|gb|AAP56905.1|, gi|31541606|gb|AAP56906.1|
OG0000051	Mycoplasma_gallisepticum	gi|84626129|gb|AAC71531.2|, gi|3844886|gb|AAC71529.1|, gi|84626137|gb|AAC71563.2|	gi|284812199|gb|AAP56913.2|, gi|284812196|gb|AAP56908.2|
OG0000054	Mycoplasma_hyopneumoniae	gi|3844709|gb|AAC71337.1|	gi|144227723|gb|AAZ44691.2|
OG0000054	Mycoplasma_agalactiae	gi|3844709|gb|AAC71337.1|	gi|290752280|emb|CBH40251.1|
OG0000054	Mycoplasma_gallisepticum	gi|3844709|gb|AAC71337.1|	gi|284812216|gb|AAP56939.2|
OG0000055	Mycoplasma_hyopneumoniae	gi|3844710|gb|AAC71338.1|	gi|71852084|gb|AAZ44692.1|
OG0000055	Mycoplasma_agalactiae	gi|3844710|gb|AAC71338.1|	gi|290752281|emb|CBH40252.1|
OG0000055	Mycoplasma_gallisepticum	gi|3844710|gb|AAC71338.1|	gi|31541638|gb|AAP56938.1|
OG0000056	Mycoplasma_hyopneumoniae	gi|3844711|gb|AAC71339.1|	gi|144227724|gb|AAZ44693.2|
OG0000056	Mycoplasma_agalactiae	gi|3844711|gb|AAC71339.1|	gi|290752282|emb|CBH40253.1|
OG0000056	Mycoplasma_gallisepticum	gi|3844711|gb|AAC71339.1|	gi|284812215|gb|AAP56937.2|
OG0000058	Mycoplasma_hyopneumoniae	gi|3844851|gb|AAC71473.1|	gi|144227739|gb|AAZ44724.2|
OG0000058	Mycoplasma_agalactiae	gi|3844851|gb|AAC71473.1|	gi|290752304|emb|CBH40275.1|
OG0000058	Mycoplasma_gallisepticum	gi|3844851|gb|AAC71473.1|	gi|284812267|gb|AAP57029.2|
OG0000059	Mycoplasma_hyopneumoniae	gi|3844850|gb|AAC71472.1|	gi|71852115|gb|AAZ44723.1|
OG0000059	Mycoplasma_agalactiae	gi|3844850|gb|AAC71472.1|	gi|290752305|emb|CBH40276.1|
